"vaccine","dose","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","X_95_ci","population_sample_size"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","New York","2023","Age","13-17 Years",93.6,"90.9 to 95.5","559"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","New Hampshire","2023","Age","13-17 Years",92.3,"87.4 to 95.3","273"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Nebraska","2023","Age","13-17 Years",93.6,"89.1 to 96.3","272"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2023","Age","13-17 Years",93.7,"89.4 to 96.3","325"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Mississippi","2023","Age","13-17 Years",92.6,"87.8 to 95.6","243"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Oklahoma","2023","Age","13-17 Years",85.1,"79.6 to 89.3","281"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Missouri","2023","Age","13-17 Years",88.7,"82.5 to 92.9","246"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Maine","2023","Age","13-17 Years",90.8,"86.4 to 93.9","322"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Kansas","2023","Age","13-17 Years",89.3,"84.2 to 92.9","373"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Alabama","2023","Age","13-17 Years",91.6,"86.9 to 94.7","335"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Tennessee","2023","Age","13-17 Years",94.1,"89.7 to 96.7","248"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","California","2023","Age","13-17 Years",88.3,"82.5 to 92.4","266"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Kentucky","2023","Age","13-17 Years",84.6,"78.1 to 89.4","297"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Delaware","2023","Age","13-17 Years",91.3,"86.3 to 94.6","293"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Texas","2023","Age","13-17 Years",86.1,"80.9 to 90.0","872"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Virginia","2023","Age","13-17 Years",94,"90.0 to 96.5","319"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wyoming","2023","Age","13-17 Years",89.7,"84.8 to 93.1","314"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Arkansas","2023","Age","13-17 Years",95.1,"91.2 to 97.3","333"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Georgia","2023","Age","13-17 Years",91.1,"84.1 to 95.2","212"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","South Dakota","2023","Age","13-17 Years",90.1,"84.4 to 93.9","275"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Connecticut","2023","Age","13-17 Years",93.3,"85.5 to 97.0","155"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Hawaii","2023","Age","13-17 Years",86.8,"81.7 to 90.6","278"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Oregon","2023","Age","13-17 Years",86.6,"80.7 to 90.9","300"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Rhode Island","2023","Age","13-17 Years",96.6,"90.2 to 98.8","201"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Nevada","2023","Age","13-17 Years",91.6,"87.0 to 94.7","325"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Michigan","2023","Age","13-17 Years",91.4,"85.1 to 95.2","249"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Iowa","2023","Age","13-17 Years",93.5,"88.1 to 96.6","248"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Louisiana","2023","Age","13-17 Years",91.5,"85.7 to 95.1","329"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Idaho","2023","Age","13-17 Years",86.6,"80.4 to 91.1","275"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Washington","2023","Age","13-17 Years",90.4,"85.1 to 94.0","236"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Pennsylvania","2023","Age","13-17 Years",90,"84.6 to 93.6","786"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Florida","2023","Age","13-17 Years",90.6,"84.9 to 94.2","283"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Maryland","2023","Age","13-17 Years",89.7,"84.1 to 93.4","476"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","New Jersey","2023","Age","13-17 Years",91.6,"87.2 to 94.6","334"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","District of Columbia","2023","Age","13-17 Years",88.4,"82.5 to 92.4","301"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Dakota","2023","Age","13-17 Years",90.7,"84.9 to 94.4","262"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","New Mexico","2023","Age","13-17 Years",91.9,"86.7 to 95.2","271"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2023","Age","13-17 Years",92.6,"89.2 to 95.1","426"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","West Virginia","2023","Age","13-17 Years",91.6,"87.3 to 94.5","298"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Colorado","2023","Age","13-17 Years",93.5,"90.1 to 95.8","332"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Arizona","2023","Age","13-17 Years",87.8,"82.1 to 91.9","303"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Alaska","2023","Age","13-17 Years",82.4,"75.2 to 87.9","249"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","South Carolina","2023","Age","13-17 Years",92.1,"86.9 to 95.3","306"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2023","Age","13-17 Years",90.3,"84.1 to 94.2","333"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Massachusetts","2023","Age","13-17 Years",93.1,"88.2 to 96.1","330"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Montana","2023","Age","13-17 Years",89.1,"84.4 to 92.5","345"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Illinois","2023","Age","13-17 Years",92.9,"90.2 to 94.9","664"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Indiana","2023","Age","13-17 Years",97.4,"94.8 to 98.7","298"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Ohio","2023","Age","13-17 Years",89.2,"83.6 to 93.0","280"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Vermont","2023","Age","13-17 Years",95.1,"90.0 to 97.6","223"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Utah","2023","Age","13-17 Years",95.6,"91.5 to 97.8","214"
